threshold,fpr,tpr
inf,0.0,0.0
4.6754351761161255,0.0005938242280285036,0.0
3.889435436648357,0.0035629453681710215,0.0
3.885928813739382,0.0035629453681710215,0.017857142857142856
3.868814646316302,0.004156769596199525,0.017857142857142856
3.858182932616484,0.004156769596199525,0.03571428571428571
3.637456730977848,0.007719714964370546,0.03571428571428571
3.513821854393408,0.007719714964370546,0.05357142857142857
3.1122024523157705,0.012470308788598575,0.05357142857142857
3.098240588498359,0.012470308788598575,0.07142857142857142
3.042474253440503,0.014251781472684086,0.07142857142857142
2.932628332148909,0.014251781472684086,0.08928571428571429
2.7781103980416044,0.017814726840855107,0.08928571428571429
2.7742185712441088,0.017814726840855107,0.10714285714285714
2.773703907420709,0.01840855106888361,0.10714285714285714
2.7534989953018343,0.01840855106888361,0.125
2.705330997452233,0.020190023752969122,0.125
2.704016996952288,0.020190023752969122,0.14285714285714285
2.5702545363114977,0.02494061757719715,0.14285714285714285
2.450239158542647,0.02494061757719715,0.17857142857142858
2.3431598396575963,0.027909738717339667,0.17857142857142858
2.332719176109701,0.027909738717339667,0.19642857142857142
2.28512224535189,0.029097387173396674,0.19642857142857142
2.2826413737790165,0.029097387173396674,0.21428571428571427
2.047772705625891,0.03622327790973872,0.21428571428571427
2.035843202955692,0.03622327790973872,0.23214285714285715
1.6845427354277804,0.05166270783847981,0.23214285714285715
1.673625381779,0.05166270783847981,0.25
1.6673659293758445,0.052256532066508314,0.25
1.665700611227014,0.052256532066508314,0.26785714285714285
1.4825498532145884,0.06353919239904988,0.26785714285714285
1.4778593382333227,0.06353919239904988,0.2857142857142857
1.3836412409967842,0.07007125890736342,0.2857142857142857
1.3820032236909925,0.07007125890736342,0.30357142857142855
0.9524951983444692,0.10391923990498812,0.30357142857142855
0.9492521620036528,0.10391923990498812,0.32142857142857145
0.7828143193511149,0.12529691211401425,0.32142857142857145
0.7814645232512935,0.12529691211401425,0.3392857142857143
0.7026838792115228,0.14192399049881235,0.3392857142857143
0.7009835163355117,0.14192399049881235,0.35714285714285715
0.6829810310941943,0.14429928741092637,0.35714285714285715
0.6769876593338604,0.14429928741092637,0.39285714285714285
0.6300715614998614,0.15617577197149643,0.39285714285714285
0.6256915952770724,0.15617577197149643,0.42857142857142855
0.4182274371301909,0.19536817102137768,0.42857142857142855
0.4176814617175631,0.19536817102137768,0.44642857142857145
0.4075863681563398,0.19833729216152018,0.44642857142857145
0.4024887836876457,0.19833729216152018,0.4642857142857143
0.3218408975868867,0.2173396674584323,0.4642857142857143
0.318024268719887,0.2173396674584323,0.48214285714285715
0.3012296588838998,0.22149643705463182,0.48214285714285715
0.3000640099615216,0.22149643705463182,0.5
0.1920508393796816,0.25475059382422804,0.5
0.1898060155633708,0.25475059382422804,0.5178571428571429
0.1148216434477427,0.2749406175771972,0.5178571428571429
0.1143666156820746,0.2749406175771972,0.5357142857142857
0.0492006931711613,0.2998812351543943,0.5357142857142857
0.0487391688979596,0.2998812351543943,0.5535714285714286
0.0486591532984538,0.3004750593824228,0.5535714285714286
0.0483203970530336,0.3004750593824228,0.5714285714285714
0.0142587834076366,0.3141330166270784,0.5714285714285714
0.0124457601748622,0.3141330166270784,0.5892857142857143
-0.0203057545000388,0.32422802850356297,0.5892857142857143
-0.0218683720970755,0.32422802850356297,0.6071428571428571
-0.1200099212674435,0.37054631828978624,0.6071428571428571
-0.1214367162653919,0.37054631828978624,0.625
-0.1646239451031306,0.3913301662707839,0.625
-0.1665412114778745,0.3913301662707839,0.6428571428571429
-0.1737588122206094,0.39429928741092635,0.6428571428571429
-0.1737589148606476,0.39429928741092635,0.6607142857142857
-0.284327211521068,0.4477434679334917,0.6607142857142857
-0.2844691778608773,0.4477434679334917,0.6785714285714286
-0.3252873000222841,0.47149643705463185,0.6785714285714286
-0.3252983293471774,0.47149643705463185,0.6964285714285714
-0.3280684757230452,0.47327790973871736,0.6964285714285714
-0.3290940187190372,0.47327790973871736,0.7142857142857143
-0.3295752390912344,0.47387173396674587,0.7142857142857143
-0.3295897586590203,0.47387173396674587,0.7321428571428571
-0.3738599758735572,0.5100950118764845,0.7321428571428571
-0.3740631478712685,0.5100950118764845,0.75
-0.4481975422921404,0.5599762470308789,0.75
-0.449956941918785,0.5599762470308789,0.7678571428571429
-0.5259219591823118,0.6247030878859857,0.7678571428571429
-0.5266079152058437,0.6247030878859857,0.7857142857142857
-0.559462761399087,0.6567695961995249,0.7857142857142857
-0.5611160664103965,0.6567695961995249,0.8035714285714286
-0.626175986264144,0.7084323040380047,0.8035714285714286
-0.629626140622539,0.7084323040380047,0.8214285714285714
-0.6425199032483982,0.7143705463182898,0.8214285714285714
-0.6429751666048792,0.7143705463182898,0.8392857142857143
-0.6479807028753013,0.7185273159144893,0.8392857142857143
-0.648473858631683,0.7185273159144893,0.8571428571428571
-0.6728998710640409,0.7381235154394299,0.8571428571428571
-0.6730879393799344,0.7381235154394299,0.875
-0.7042720622729577,0.7701900237529691,0.875
-0.7053878591466469,0.7701900237529691,0.8928571428571429
-0.7267881951734663,0.7844418052256532,0.8928571428571429
-0.726795661830594,0.7844418052256532,0.9107142857142857
-0.7323638451507265,0.7885985748218527,0.9107142857142857
-0.7343795387458647,0.7885985748218527,0.9285714285714286
-0.7770372710360496,0.828978622327791,0.9285714285714286
-0.7782656521649006,0.828978622327791,0.9464285714285714
-0.7824043323249907,0.8355106888361045,0.9464285714285714
-0.7834481669230046,0.8355106888361045,0.9642857142857143
-0.8220437863483515,0.8770783847980997,0.9642857142857143
