threshold,precision,recall
-0.9824147913951244,0.03218390804597701,1.0
-0.9791184129075672,0.03220241518113859,1.0
-0.978383549274055,0.03222094361334868,1.0
-0.9776279128293204,0.03223949337938975,1.0
-0.973231490692017,0.03225806451612903,1.0
-0.9728529716586088,0.03227665706051873,1.0
-0.9720493828710884,0.03229527104959631,1.0
-0.971586546576998,0.03231390652048471,1.0
-0.970907879759072,0.03233256351039261,1.0
-0.9685964358118396,0.032351242056614674,1.0
-0.9680040029642796,0.03236994219653179,1.0
-0.9679104621038576,0.032388663967611336,1.0
-0.9661721861736756,0.032407407407407406,1.0
-0.9649132284783088,0.03242617255356109,1.0
-0.964052557198842,0.03244495944380069,1.0
-0.9623058981495946,0.03246376811594203,1.0
-0.9620610132781048,0.03248259860788863,1.0
-0.959706292701897,0.03250145095763204,1.0
-0.9569524864184076,0.032520325203252036,1.0
-0.9546622058634404,0.03253922138291691,1.0
-0.9531361879166482,0.03255813953488372,1.0
-0.951383818187665,0.03257707969749855,1.0
-0.9509250225967832,0.03259604190919674,1.0
-0.9492728682022056,0.032615026208503206,1.0
-0.9486597398393148,0.03263403263403263,1.0
-0.9484570103620884,0.0326530612244898,1.0
-0.9464787005308068,0.03267211201866978,1.0
-0.944686659194702,0.03269118505545826,1.0
-0.9427477337645346,0.03271028037383177,1.0
-0.9403343321909444,0.03272939801285798,1.0
-0.9402197618384772,0.03274853801169591,1.0
-0.9399246352035628,0.032767700409596257,1.0
-0.9379193485408416,0.03278688524590164,1.0
-0.9378440047029158,0.032806092560046865,1.0
-0.9377626446641008,0.032825322391559206,1.0
-0.9360973734715052,0.03284457478005865,1.0
-0.9354603010782092,0.03286384976525822,1.0
-0.9348091049426562,0.03288314738696418,1.0
-0.9346572418063094,0.03290246768507638,1.0
-0.9338640194074328,0.03292181069958848,1.0
-0.9335213787723629,0.03294117647058824,1.0
-0.9335043070940172,0.0329605650382578,1.0
-0.9308661970854852,0.03297997644287397,1.0
-0.9304416927971876,0.032999410724808484,1.0
-0.92921066949296,0.0330188679245283,1.0
-0.929000008904194,0.03303834808259587,1.0
-0.9253299529647736,0.03305785123966942,1.0
-0.9250582858830904,0.03307737743650325,1.0
-0.9232293400626954,0.03309692671394799,1.0
-0.9223420394673912,0.03311649911295092,1.0
-0.9198297991279194,0.033136094674556214,1.0
-0.9195467347020556,0.03315571343990527,1.0
-0.9193867799351846,0.03317535545023697,1.0
-0.9186463025088748,0.03319502074688797,1.0
-0.9177476103234448,0.033214709371293,1.0
-0.9169866725887796,0.03323442136498516,1.0
-0.9154076405314464,0.0332541567695962,1.0
-0.9150048320689288,0.033273915626856804,1.0
-0.9145882316848604,0.03329369797859691,1.0
-0.9129020785420964,0.03331350386674598,1.0
-0.9122950073025996,0.03333333333333333,1.0
-0.9115490430551976,0.03335318642048839,1.0
-0.9109983552468836,0.033373063170441,1.0
-0.9108862845782092,0.033392963625521764,1.0
-0.91047829950222,0.03281622911694511,0.9821428571428571
-0.9104290933394076,0.03283582089552239,0.9821428571428571
-0.910252043795168,0.032855436081242535,0.9821428571428571
-0.910166956566885,0.0328750747160789,0.9821428571428571
-0.910086954362785,0.03289473684210526,0.9821428571428571
-0.90988481464546,0.03291442250149611,0.9821428571428571
-0.908987440121122,0.03293413173652695,0.9821428571428571
-0.9085702066296628,0.0329538645895746,0.9821428571428571
-0.9083527494465096,0.03297362110311751,0.9821428571428571
-0.9081477758731656,0.032993401319736056,0.9821428571428571
-0.90733427114168,0.033013205282112844,0.9821428571428571
-0.9058182708394936,0.03303303303303303,0.9821428571428571
-0.905334487786008,0.033052884615384616,0.9821428571428571
-0.9048553139513862,0.03307276007215875,0.9821428571428571
-0.904018455586901,0.03309265944645006,0.9821428571428571
-0.9037290584053248,0.033112582781456956,0.9821428571428571
-0.9022750471733318,0.03313253012048193,0.9821428571428571
-0.902147715326432,0.033152501506931886,0.9821428571428571
-0.9019307217363912,0.033172496984318456,0.9821428571428571
-0.9004103854493586,0.0331925165962583,0.9821428571428571
-0.9003831019394701,0.03321256038647343,0.9821428571428571
-0.8994067259118156,0.03323262839879154,0.9821428571428571
-0.8991560807602815,0.03325272067714631,0.9821428571428571
-0.8990459638557804,0.03327283726557774,0.9821428571428571
-0.8977753107094165,0.033292978208232446,0.9821428571428571
-0.8972374090076184,0.03331314354936402,0.9821428571428571
-0.8967003572715742,0.03333333333333333,0.9821428571428571
-0.8957142720437024,0.03335354760460885,0.9821428571428571
-0.8956071278834195,0.03337378640776699,0.9821428571428571
-0.8951722893860223,0.033394049787492414,0.9821428571428571
-0.8944221133750907,0.03341433778857837,0.9821428571428571
-0.8939672543616584,0.03343465045592705,0.9821428571428571
-0.8937951522913907,0.03345498783454988,0.9821428571428571
-0.8932303821706654,0.033475349969567865,0.9821428571428571
-0.8932206302333126,0.03349573690621194,0.9821428571428571
-0.8922214790907266,0.03351614868982328,0.9821428571428571
-0.8907465680594012,0.03353658536585366,0.9821428571428571
-0.8899476918302275,0.03355704697986577,0.9821428571428571
-0.8896965196148947,0.033577533577533576,0.9821428571428571
-0.889553211996105,0.033598045204642636,0.9821428571428571
-0.8893112758602757,0.03361858190709047,0.9821428571428571
-0.8886034844612674,0.03363914373088685,0.9821428571428571
-0.8848742740785743,0.033659730722154224,0.9821428571428571
-0.8846355092054774,0.03368034292712799,0.9821428571428571
-0.8837282294859492,0.03370098039215686,0.9821428571428571
-0.8830777000791414,0.03372164316370325,0.9821428571428571
-0.8828186014023862,0.03374233128834356,0.9821428571428571
